1st ->;UBL;UBR;UFL;LUB;LUF;LDF;LDB;FUL;FDR;FDL;RUB;RDB;RDF;BUR;BUL;BDL;BDR;DFL;DFR;DBR;DBL
UBL;;U-Any / U-Any;U-Any / U-Any;;U-Any / U-Any;U-Top / D-Side;U-Top / D-Side;U-Any / U-Any;U-Top / D-Side;U-Top / D-Side;U-Any / U-Any;U-Top / D-Side;U-Top / D-Side;U-Any / U-Any;;U-Top / D-Side;U-Top / D-Side;U-Top / D-Bottom;Special;U-Top / D-Bottom;Special
UBR;U-Any / U-Any;;U-Any / U-Any;U-Any / U-Any;U-Any / U-Any;U-Top / D-Side;U-Top / D-Side;U-Any / U-Any;U-Top / D-Side;U-Top / D-Side;;U-Top / D-Side;U-Top / D-Side;;U-Any / U-Any;U-Top / D-Side;U-Top / D-Side;U-Top / D-Bottom;Special;Special;U-Top / D-Bottom
UFL;U-Any / U-Any;U-Any / U-Any;;U-Any / U-Any;;U-Top / D-Side;U-Top / D-Side;;U-Top / D-Side;U-Top / D-Side;U-Any / U-Any;U-Top / D-Side;U-Top / D-Side;U-Any / U-Any;U-Any / U-Any;U-Top / D-Side;U-Top / D-Side;Special;Special;U-Top / D-Bottom;Special
LUB;;U-Any / U-Any;U-Any / U-Any;;U-Any / U-Any;U-Side / D-Any;U-Side / D-Any;U-Any / U-Any;U-Side / D-Any;U-Side / D-Any;U-Any / U-Any;Special;U-Side / D-Any;U-Any / U-Any;;U-Side / D-Any;U-Side / D-Any;U-Side / D-Any;U-Side / D-Any;U-Side / D-Any;U-Side / D-Any
LUF;U-Any / U-Any;U-Any / U-Any;;U-Any / U-Any;;LUF / D-Any;LUF / D-Any;;Special;LUF / D-Any;U-Any / U-Any;Special;LUF / D-Any;U-Any / U-Any;U-Any / U-Any;Special;LUF / D-Any;LUF / D-Any;LUF / D-Any;Special;LUF / D-Any
LDF;U-Top / D-Side;U-Top / D-Side;U-Top / D-Side;U-Side / D-Any;LUF / D-Any;;Special;Special;D-Side / D-Side;;U-Side / D-Any;D-Side / D-Side;D-Side / D-Side;BUR / D-Any;Special;D-Side / D-Side;Special;;D-Side / D-Bottom;D-Side / D-Bottom;Special
LDB;U-Top / D-Side;U-Top / D-Side;U-Top / D-Side;U-Side / D-Any;LUF / D-Any;Special;;U-Side / D-Any;D-Side / D-Side;D-Side / D-Side;U-Side / D-Any;D-Side / D-Side;D-Side / D-Side;Special;Special;;D-Side / D-Side;Special;Special;Special;
FUL;U-Any / U-Any;U-Any / U-Any;;U-Any / U-Any;;Special;U-Side / D-Any;;Special;U-Side / D-Any;U-Any / U-Any;U-Side / D-Any;U-Side / D-Any;U-Any / U-Any;U-Any / U-Any;Special;U-Side / D-Any;U-Side / D-Any;Special;U-Side / D-Any;U-Side / D-Any
FDR;U-Top / D-Side;U-Top / D-Side;U-Top / D-Side;U-Side / D-Any;Special;D-Side / D-Side;D-Side / D-Side;Special;;Special;U-Side / D-Any;D-Side / D-Side;;BUR / D-Any;U-Side / D-Any;D-Side / D-Side;Special;Special;;D-Side / D-Bottom;Special
FDL;U-Top / D-Side;U-Top / D-Side;U-Top / D-Side;U-Side / D-Any;LUF / D-Any;;D-Side / D-Side;U-Side / D-Any;Special;;U-Side / D-Any;D-Side / D-Side;D-Side / D-Side;Special;Special;D-Side / D-Side;D-Side / D-Side;;Special;D-Side / D-Bottom;D-Side / D-Bottom
RUB;U-Any / U-Any;;U-Any / U-Any;U-Any / U-Any;U-Any / U-Any;U-Side / D-Any;U-Side / D-Any;U-Any / U-Any;U-Side / D-Any;U-Side / D-Any;;U-Side / D-Any;U-Side / D-Any;;U-Any / U-Any;U-Side / D-Any;Special;U-Side / D-Any;U-Side / D-Any;U-Side / D-Any;U-Side / D-Any
RDB;U-Top / D-Side;U-Top / D-Side;U-Top / D-Side;Special;Special;D-Side / D-Side;D-Side / D-Side;U-Side / D-Any;D-Side / D-Side;D-Side / D-Side;U-Side / D-Any;;Special;BUR / D-Any;Special;D-Side / D-Side;;D-Side / D-Bottom;Special;;D-Side / D-Bottom
RDF;U-Top / D-Side;U-Top / D-Side;U-Top / D-Side;U-Side / D-Any;LUF / D-Any;D-Side / D-Side;D-Side / D-Side;U-Side / D-Any;;D-Side / D-Side;U-Side / D-Any;D-Side / D-Side;;BUR / D-Any;Special;D-Side / D-Side;D-Side / D-Side;D-Side / D-Bottom;;Special;D-Side / D-Bottom
BUR;U-Any / U-Any;;U-Any / U-Any;U-Any / U-Any;U-Any / U-Any;BUR / D-Any;Special;U-Any / U-Any;BUR / D-Any;Special;;BUR / D-Any;BUR / D-Any;;U-Any / U-Any;BUR / D-Any;Special;BUR / D-Any;Special;BUR / D-Any;BUR / D-Any
BUL;;U-Any / U-Any;U-Any / U-Any;;U-Any / U-Any;Special;Special;U-Any / U-Any;U-Side / D-Any;Special;U-Any / U-Any;Special;Special;U-Any / U-Any;;U-Side / D-Any;Special;U-Side / D-Any;U-Side / D-Any;Special;Special
BDL;U-Top / D-Side;U-Top / D-Side;U-Top / D-Side;U-Side / D-Any;Special;D-Side / D-Side;;Special;D-Side / D-Side;D-Side / D-Side;U-Side / D-Any;D-Side / D-Side;D-Side / D-Side;BUR / D-Any;U-Side / D-Any;;Special;D-Side / D-Bottom;D-Side / D-Bottom;D-Side / D-Bottom;
BDR;U-Top / D-Side;U-Top / D-Side;U-Top / D-Side;U-Side / D-Any;LUF / D-Any;Special;D-Side / D-Side;U-Side / D-Any;Special;D-Side / D-Side;Special;;D-Side / D-Side;Special;Special;Special;;D-Side / D-Bottom;D-Side / D-Bottom;;D-Side / D-Bottom
DFL;U-Top / D-Bottom;U-Top / D-Bottom;Special;U-Side / D-Any;LUF / D-Any;;Special;U-Side / D-Any;Special;;U-Side / D-Any;D-Side / D-Bottom;D-Side / D-Bottom;BUR / D-Any;U-Side / D-Any;D-Side / D-Bottom;D-Side / D-Bottom; ;D-Bottom / D-Bottom;D-Bottom / D-Bottom;D-Bottom / D-Bottom
DFR;Special;Special;Special;U-Side / D-Any;LUF / D-Any;D-Side / D-Bottom;Special;Special;;Special;U-Side / D-Any;Special;;Special;U-Side / D-Any;D-Side / D-Bottom;D-Side / D-Bottom;D-Bottom / D-Bottom;;D-Bottom / D-Bottom;D-Bottom / D-Bottom
DBR;U-Top / D-Bottom;Special;U-Top / D-Bottom;U-Side / D-Any;Special;D-Side / D-Bottom;Special;U-Side / D-Any;D-Side / D-Bottom;D-Side / D-Bottom;U-Side / D-Any;;Special;BUR / D-Any;Special;D-Side / D-Bottom;;;D-Bottom / D-Bottom;;D-Bottom / D-Bottom
DBL;Special;U-Top / D-Bottom;Special;U-Side / D-Any;LUF / D-Any;Special;;U-Side / D-Any;Special;D-Side / D-Bottom;U-Side / D-Any;D-Side / D-Bottom;D-Side / D-Bottom;BUR / D-Any;Special;;D-Side / D-Bottom;D-Bottom / D-Bottom;D-Bottom / D-Bottom;D-Bottom / D-Bottom;
